"Perioden";"Regio's";"Totaal (km2)";"Verkeersterrein/Spoorterrein (km2)";"Verkeersterrein/Wegverkeersterrein (km2)";"Verkeersterrein/Vliegveld (km2)";"Bebouwd terrein/Woonterrein (km2)";"Bebouwd terrein/Bedrijventerreinen (km2)";"Bebouwd terrein/Sociaal-culturele voorzieningen (km2)";"Semi-bebouwd terrein/Delfstofwinplaats (km2)";"Semi-bebouwd terrein/Bouwterrein (km2)";"Semi-bebouwd terrein/Overige semi-bebouwde terreinen (km2)";"Recreatieterrein/Park en plantsoen (km2)";"Recreatieterrein/Sportterrein (km2)";"Recreatieterrein/Overige recreatieterreinen (km2)";"Agrarisch terrein/Terrein voor glastuinbouw (km2)";"Agrarisch terrein/Overig agrarisch terrein (km2)";"Bos en open natuurlijk terrein/Bos (km2)";"Bos en open natuurlijk terrein/Open natuurlijke terreinen (km2)";"Water/Binnenwater (km2)";"Water/Buitenwater (km2)"
"2000";"Nederland";"   41528";"      88";"    1016";"      26";"    2211";"     820";"     152";"      32";"     327";"     127";"     240";"     315";"     334";"     150";"   23111";"    3501";"    1334";"    3574";"    4170"
"2001";"Nederland";"   41528";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2002";"Nederland";"   41528";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2003";"Nederland";"   41528";"      84";"    1040";"      22";"    2239";"     895";"     154";"      31";"     349";"     126";"     267";"     322";"     348";"     157";"   22880";"    3464";"    1377";"    3598";"    4174"
"2004";"Nederland";"   41528";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2005";"Nederland";"   41543";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2006";"Nederland";"   41543";"      85";"    1050";"      25";"    2278";"     945";"     156";"      31";"     376";"     121";"     277";"     334";"     352";"     162";"   22696";"    3447";"    1393";"    3626";"    4188"
"2007";"Nederland";"   41543";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2008";"Nederland";"   41543";"      86";"    1061";"      24";"    2301";"     993";"     154";"      29";"     368";"     117";"     280";"     341";"     355";"     168";"   22590";"    3448";"    1402";"    3635";"    4189"
"2009";"Nederland";"   41543";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2010";"Nederland";"   41543";"      86";"    1066";"      24";"    2314";"    1035";"     153";"      32";"     369";"     112";"     284";"     345";"     360";"     166";"   22478";"    3454";"    1411";"    3661";"    4195"
"2011";"Nederland";"   41543";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2012";"Nederland";"   41543";"      89";"    1049";"      23";"    2336";"    1067";"     157";"      31";"     370";"     110";"     295";"     353";"     377";"     159";"   22364";"    3440";"    1460";"    3681";"    4183"
"2013";"Nederland";"   41540";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2014";"Nederland";"   41540";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2015";"Nederland";"   41543";"      89";"    1044";"      23";"    2358";"    1096";"     161";"      34";"     349";"     110";"     308";"     360";"     386";"     155";"   22208";"    3413";"    1577";"    3719";"    4153"
"1950";"Groningen (PV)";"    2400";"       6";"      39";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    2061";"       8";"     120";"       .";"       ."
"1951";"Groningen (PV)";"    2400";"       6";"      41";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    2055";"       8";"      85";"       .";"       ."
"1952";"Groningen (PV)";"    2400";"       6";"      39";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    2058";"       7";"      81";"       .";"       ."
"1953";"Groningen (PV)";"    2410";"       6";"      39";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    2063";"       7";"      80";"       .";"       ."
"1954";"Groningen (PV)";"    2410";"       6";"      40";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       3";"       .";"       .";"       .";"    2060";"       7";"      78";"       .";"       ."
