"Perioden";"Regio's";"Totaal (km2)";"Verkeersterrein/Spoorterrein (km2)";"Verkeersterrein/Wegverkeersterrein (km2)";"Verkeersterrein/Vliegveld (km2)";"Bebouwd terrein/Woonterrein (km2)";"Bebouwd terrein/Bedrijventerreinen (km2)";"Bebouwd terrein/Sociaal-culturele voorzieningen (km2)";"Semi-bebouwd terrein/Delfstofwinplaats (km2)";"Semi-bebouwd terrein/Bouwterrein (km2)";"Semi-bebouwd terrein/Overige semi-bebouwde terreinen (km2)";"Recreatieterrein/Park en plantsoen (km2)";"Recreatieterrein/Sportterrein (km2)";"Recreatieterrein/Overige recreatieterreinen (km2)";"Agrarisch terrein/Terrein voor glastuinbouw (km2)";"Agrarisch terrein/Overig agrarisch terrein (km2)";"Bos en open natuurlijk terrein/Bos (km2)";"Bos en open natuurlijk terrein/Open natuurlijke terreinen (km2)";"Water/Binnenwater (km2)";"Water/Buitenwater (km2)"
"1994";"Gelderland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1995";"Gelderland (PV)";"    5143";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1996";"Gelderland (PV)";"    5143";"      13";"     144";"       1";"     282";"      97";"      23";"       4";"      16";"      15";"      23";"      39";"      56";"       6";"    3113";"     942";"     210";"     160";""
"1997";"Gelderland (PV)";"    5143";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1998";"Gelderland (PV)";"    5138";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1999";"Gelderland (PV)";"    5138";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2000";"Gelderland (PV)";"    5137";"      12";"     143";"       1";"     289";"     104";"      23";"       4";"      24";"      15";"      25";"      40";"      57";"       7";"    3075";"     955";"     204";"     161";""
"2001";"Gelderland (PV)";"    5137";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2002";"Gelderland (PV)";"    5137";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2003";"Gelderland (PV)";"    5137";"      11";"     146";"       1";"     292";"     113";"      23";"       4";"      36";"      15";"      28";"      40";"      59";"       8";"    3050";"     939";"     204";"     165";""
"2004";"Gelderland (PV)";"    5137";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2005";"Gelderland (PV)";"    5137";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2006";"Gelderland (PV)";"    5137";"      11";"     150";"       1";"     300";"     118";"      23";"       4";"      34";"      15";"      29";"      41";"      59";"       9";"    3036";"     935";"     205";"     167";""
"2007";"Gelderland (PV)";"    5137";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2008";"Gelderland (PV)";"    5137";"      12";"     151";"       1";"     301";"     122";"      23";"       3";"      37";"      14";"      29";"      42";"      59";"       9";"    3023";"     936";"     206";"     167";""
"2009";"Gelderland (PV)";"    5137";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2010";"Gelderland (PV)";"    5137";"      12";"     150";"       1";"     303";"     126";"      23";"       3";"      42";"      14";"      29";"      42";"      60";"      10";"    3009";"     935";"     209";"     168";""
"2011";"Gelderland (PV)";"    5136";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2012";"Gelderland (PV)";"    5136";"      13";"     149";"       1";"     308";"     133";"      24";"       3";"      34";"      14";"      30";"      44";"      62";"       9";"    2996";"     935";"     214";"     169";""
"2013";"Gelderland (PV)";"    5136";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2014";"Gelderland (PV)";"    5136";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2015";"Gelderland (PV)";"    5136";"      13";"     147";"       1";"     312";"     136";"      25";"       4";"      35";"      14";"      31";"      45";"      63";"       9";"    2975";"     933";"     221";"     173";""
"1950";"Utrecht (PV)";"    1385";"      13";"      24";"       3";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"     936";"     180";"      75";"      34";""
"1951";"Utrecht (PV)";"    1384";"       9";"      26";"       2";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"     936";"     181";"      73";"      38";""
"1952";"Utrecht (PV)";"    1387";"       9";"      27";"       3";"       .";"       .";"       .";"       .";"       .";"       .";"       3";"       .";"       .";"       .";"     935";"     180";"      73";"      40";""
"1953";"Utrecht (PV)";"    1396";"       9";"      28";"       3";"       .";"       .";"       .";"       .";"       .";"       .";"       3";"       .";"       .";"       .";"     942";"     179";"      55";"      57";""
"1954";"Utrecht (PV)";"    1396";"       8";"      28";"       4";"       .";"       .";"       .";"       .";"       .";"       .";"       3";"       .";"       .";"       .";"     941";"     179";"      54";"      57";""
"1955";"Utrecht (PV)";"    1396";"       8";"      29";"       4";"       .";"       .";"       .";"       .";"       2";"       .";"       6";"       .";"       .";"       .";"     945";"     163";"      55";"      58";""
"1956";"Utrecht (PV)";"    1396";"       8";"      30";"       4";"       .";"       .";"       .";"       .";"       1";"       .";"       5";"       .";"       .";"       .";"     945";"     168";"      47";"      59";""
"1957";"Utrecht (PV)";"    1396";"       8";"      29";"       4";"       .";"       .";"       .";"       .";"       1";"       .";"       6";"       .";"       .";"       .";"     948";"     165";"      47";"      58";""
"1958";"Utrecht (PV)";"    1396";"       8";"      29";"       4";"       .";"       .";"       .";"       .";"       3";"       .";"       6";"       .";"       .";"       .";"     945";"     165";"      51";"      56";""
"1959";"Utrecht (PV)";"    1396";"       8";"      29";"       4";"       .";"       .";"       .";"       .";"       2";"       .";"       6";"       .";"       .";"       .";"     944";"     167";"      49";"      57";""
"1960";"Utrecht (PV)";"    1396";"       8";"      29";"       4";"       .";"       .";"       .";"       .";"       2";"       .";"       6";"       .";"       .";"       .";"     942";"     167";"      49";"      57";""
"1961";"Utrecht (PV)";"    1395";"       7";"      26";"       4";"       .";"       .";"       .";"       .";"       6";"       .";"       6";"       .";"       .";"       .";"     942";"     165";"      48";"      56";""
"1962";"Utrecht (PV)";"    1393";"       6";"      24";"       5";"       .";"       .";"       .";"       .";"       7";"       .";"       5";"       .";"       .";"       .";"     940";"     168";"      44";"      66";""
"1963";"Utrecht (PV)";"    1393";"       6";"      24";"       5";"       .";"       .";"       .";"       .";"       6";"       .";"       5";"       .";"       .";"       .";"     938";"     168";"      44";"      66";""
"1964";"Utrecht (PV)";"    1395";"       4";"      24";"       5";"       .";"       .";"       .";"       .";"       8";"       .";"       5";"       .";"       .";"       .";"     952";"     191";"      31";"      66";""
"1965";"Utrecht (PV)";"    1395";"       4";"      23";"       5";"       .";"       .";"       .";"       .";"      10";"       .";"       6";"       .";"       .";"       .";"     949";"     191";"      31";"      65";""
"1966";"Utrecht (PV)";"    1395";"       4";"      23";"       5";"       .";"       .";"       .";"       .";"      12";"       .";"       6";"       .";"       .";"       .";"     947";"     190";"      31";"      66";""
"1967";"Utrecht (PV)";"    1395";"       4";"      24";"       5";"       .";"       8";"       .";"       .";"      10";"       .";"       5";"       .";"       .";"       .";"     940";"     187";"      30";"      65";""
"1968";"Utrecht (PV)";"    1395";"       4";"      24";"       5";"       .";"       8";"       .";"       .";"       8";"       .";"       5";"       .";"       .";"       .";"     939";"     186";"      30";"      66";""
"1969";"Utrecht (PV)";"    1395";"       4";"      25";"       5";"       .";"       9";"       .";"       .";"       9";"       .";"       5";"       .";"       .";"       .";"     933";"     186";"      31";"      66";""
"1970";"Utrecht (PV)";"    1395";"       4";"      22";"       5";"       .";"       8";"       .";"       .";"      12";"       .";"       4";"       .";"       .";"       .";"     929";"     187";"      33";"      67";""
"1971";"Utrecht (PV)";"    1396";"       4";"      23";"       5";"       .";"      10";"       .";"       .";"      11";"       .";"       4";"       .";"       .";"       .";"     927";"     187";"      33";"      67";""
"1972";"Utrecht (PV)";"    1394";"       4";"      23";"       5";"       .";"      10";"       .";"       .";"      12";"       .";"       4";"       2";"       .";"       .";"     921";"     186";"      33";"      67";""
"1973";"Utrecht (PV)";"    1397";"       4";"      24";"       5";"       .";"      11";"       .";"       .";"      14";"       .";"       4";"       6";"       .";"       .";"     913";"     186";"      33";"      67";""
"1974";"Utrecht (PV)";"    1397";"       4";"      24";"       5";"       .";"      10";"       .";"       .";"      14";"       .";"       3";"       6";"       .";"       .";"     913";"     192";"      28";"      67";""
"1975";"Utrecht (PV)";"    1397";"       4";"      24";"       5";"       .";"      10";"       .";"       .";"      14";"       .";"       3";"       7";"       .";"       .";"     909";"     192";"      28";"      67";""
"1976";"Utrecht (PV)";"    1397";"       4";"      26";"       5";"       .";"      11";"       .";"       .";"      14";"       .";"       3";"       7";"       .";"       .";"     902";"     192";"      28";"      67";""
"1977";"Utrecht (PV)";"    1397";"       7";"      39";"       5";"     110";"      26";"      16";"       1";"      18";"       4";"       5";"      11";"      18";"       5";"     862";"     176";"      29";"      64";""
"1978";"Utrecht (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1979";"Utrecht (PV)";"    1396";"       7";"      40";"       1";"     115";"      27";"      16";"       1";"      19";"       4";"       6";"      11";"      19";"       5";"     852";"     178";"      31";"      64";""
"1980";"Utrecht (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1981";"Utrecht (PV)";"    1396";"       8";"      43";"       1";"     120";"      29";"      16";"       1";"      15";"       4";"       7";"      12";"      18";"       5";"     843";"     178";"      31";"      65";""
"1982";"Utrecht (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1983";"Utrecht (PV)";"    1396";"       7";"      44";"       2";"     123";"      30";"      16";"       1";"      13";"       5";"       8";"      13";"      19";"       5";"     838";"     179";"      29";"      65";""
"1984";"Utrecht (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1985";"Utrecht (PV)";"    1402";"       7";"      45";"       2";"     127";"      30";"      17";"       1";"      12";"       5";"       8";"      14";"      19";"       4";"     832";"     179";"      29";"      71";""
"1986";"Utrecht (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1987";"Utrecht (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1988";"Utrecht (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1989";"Utrecht (PV)";"    1434";"       8";"      49";"       1";"     133";"      33";"      18";"       1";"       9";"       4";"      10";"      16";"      18";"       3";"     849";"     177";"      26";"      79";""
"1990";"Utrecht (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1991";"Utrecht (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1992";"Utrecht (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1993";"Utrecht (PV)";"    1434";"       8";"      50";"       1";"     138";"      40";"      16";"       2";"       6";"       4";"      10";"      17";"      18";"       3";"     847";"     174";"      25";"      76";""
"1994";"Utrecht (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1995";"Utrecht (PV)";"    1434";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1996";"Utrecht (PV)";"    1434";"       7";"      43";"       1";"     138";"      43";"      15";"       1";"       7";"       4";"      16";"      19";"      14";"       3";"     842";"     186";"      20";"      77";""
"1997";"Utrecht (PV)";"    1434";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1998";"Utrecht (PV)";"    1439";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1999";"Utrecht (PV)";"    1439";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2000";"Utrecht (PV)";"    1439";"       6";"      44";"       1";"     142";"      46";"      14";"       1";"      15";"       4";"      16";"      19";"      15";"       3";"     830";"     187";"      20";"      78";""
"2001";"Utrecht (PV)";"    1439";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2002";"Utrecht (PV)";"    1449";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2003";"Utrecht (PV)";"    1449";"       6";"      47";"       1";"     146";"      51";"      15";"       1";"      17";"       4";"      16";"      20";"      14";"       2";"     839";"     187";"      20";"      64";""
"2004";"Utrecht (PV)";"    1449";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2005";"Utrecht (PV)";"    1449";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2006";"Utrecht (PV)";"    1449";"       6";"      48";"       1";"     149";"      53";"      14";"       0";"      21";"       4";"      17";"      21";"      14";"       2";"     826";"     185";"      21";"      65";""
"2007";"Utrecht (PV)";"    1449";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2008";"Utrecht (PV)";"    1449";"       6";"      50";"       1";"     151";"      56";"      14";"       0";"      19";"       4";"      18";"      21";"      13";"       2";"     820";"     184";"      22";"      66";""
"2009";"Utrecht (PV)";"    1449";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2010";"Utrecht (PV)";"    1449";"       6";"      50";"       1";"     150";"      58";"      14";"       0";"      20";"       4";"      19";"      21";"      14";"       2";"     815";"     184";"      22";"      67";""
"2011";"Utrecht (PV)";"    1449";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2012";"Utrecht (PV)";"    1449";"       7";"      51";"       1";"     153";"      61";"      14";"       0";"      16";"       4";"      19";"      21";"      15";"       2";"     810";"     183";"      25";"      69";""
"2013";"Utrecht (PV)";"    1449";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2014";"Utrecht (PV)";"    1449";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2015";"Utrecht (PV)";"    1449";"       7";"      50";"       1";"     154";"      61";"      14";"       0";"      15";"       4";"      20";"      22";"      15";"       2";"     804";"     183";"      27";"      71";""
"1950";"Noord-Holland (PV)";"    2858";"      14";"      54";"       9";"       .";"       .";"       .";"       .";"       .";"       .";"       8";"       .";"       .";"       .";"    2044";"      77";"     252";"       .";"       ."
"1951";"Noord-Holland (PV)";"    2867";"      14";"      56";"       9";"       .";"       .";"       .";"       .";"       .";"       .";"       9";"       .";"       .";"       .";"    2044";"      73";"     244";"       .";"       ."
"1952";"Noord-Holland (PV)";"    2881";"      14";"      46";"      10";"       .";"       .";"       .";"       .";"       .";"       .";"      10";"       .";"       .";"       .";"    2052";"      77";"     240";"       .";"       ."
"1953";"Noord-Holland (PV)";"    2894";"      14";"      48";"       9";"       .";"       .";"       .";"       .";"       .";"       .";"      10";"       .";"       .";"       .";"    2055";"      81";"     243";"       .";"       ."
"1954";"Noord-Holland (PV)";"    2894";"      14";"      39";"      10";"       .";"       .";"       .";"       .";"       .";"       .";"      10";"       .";"       .";"       .";"    2047";"      81";"     241";"       .";"       ."
"1955";"Noord-Holland (PV)";"    2894";"      14";"      39";"      11";"       .";"       .";"       .";"       .";"      16";"       .";"      12";"       .";"       .";"       .";"    2041";"      78";"     237";"       .";"       ."
"1956";"Noord-Holland (PV)";"    2894";"      14";"      39";"      11";"       .";"       .";"       .";"       .";"      19";"       .";"      12";"       .";"       .";"       .";"    2031";"      77";"     237";"       .";"       ."
"1957";"Noord-Holland (PV)";"    2903";"      14";"      40";"      11";"       .";"       .";"       .";"       .";"      23";"       .";"      13";"       .";"       .";"       .";"    2022";"      77";"     237";"       .";"       ."
"1958";"Noord-Holland (PV)";"    2903";"      14";"      41";"      11";"       .";"       .";"       .";"       .";"      28";"       .";"      13";"       .";"       .";"       .";"    2012";"      79";"     235";"       .";"       ."
"1959";"Noord-Holland (PV)";"    2903";"      13";"      41";"      11";"       .";"       .";"       .";"       .";"      29";"       .";"      14";"       .";"       .";"       .";"    2003";"      79";"     235";"       .";"       ."
"1960";"Noord-Holland (PV)";"    2903";"      13";"      41";"      12";"       .";"       .";"       .";"       .";"      33";"       .";"      14";"       .";"       .";"       .";"    1982";"      76";"     231";"       .";"       ."
"1961";"Noord-Holland (PV)";"    2904";"      10";"      42";"      12";"       .";"       .";"       .";"       .";"      34";"       .";"      16";"       .";"       .";"       .";"    1973";"      76";"     228";"       .";"       ."
"1962";"Noord-Holland (PV)";"    2910";"       9";"      44";"      10";"       .";"       .";"       .";"       .";"      36";"       .";"      16";"       .";"       .";"       .";"    2006";"      90";"     191";"       .";"       ."
"1963";"Noord-Holland (PV)";"    2842";"       9";"      46";"      10";"       .";"       .";"       .";"       .";"      38";"       .";"      18";"       .";"       .";"       .";"    1922";"      89";"     190";"       .";"       ."
"1964";"Noord-Holland (PV)";"    2912";"       7";"      47";"      10";"       .";"       .";"       .";"       .";"      44";"       .";"      20";"       .";"       .";"       .";"    2021";"     106";"     175";"       .";"       ."
"1965";"Noord-Holland (PV)";"    2912";"       6";"      46";"      11";"       .";"       .";"       .";"       .";"      49";"       .";"      22";"       .";"       .";"       .";"    2018";"     107";"     167";"       .";"       ."
"1966";"Noord-Holland (PV)";"    2912";"       6";"      45";"      17";"       .";"       .";"       .";"       .";"      56";"       .";"      22";"       .";"       .";"       .";"    1994";"     107";"     167";"       .";"       ."
"1967";"Noord-Holland (PV)";"    2911";"       6";"      45";"      17";"       .";"      25";"       .";"       .";"      55";"       .";"      20";"       .";"       .";"       .";"    1979";"     105";"     168";"       .";"       ."
"1968";"Noord-Holland (PV)";"    2911";"       6";"      45";"      19";"       .";"      25";"       .";"       .";"      59";"       .";"      23";"       .";"       .";"       .";"    1962";"     105";"     168";"       .";"       ."
"1969";"Noord-Holland (PV)";"    2911";"       6";"      46";"      19";"       .";"      29";"       .";"       .";"      61";"       .";"      24";"       .";"       .";"       .";"    1956";"     105";"     166";"       .";"       ."
"1970";"Noord-Holland (PV)";"    2912";"       7";"      47";"      18";"       .";"      34";"       .";"       .";"      64";"       .";"      12";"       .";"       .";"       .";"    1945";"     110";"     168";"       .";"       ."
"1971";"Noord-Holland (PV)";"    2912";"       7";"      47";"      18";"       .";"      35";"       .";"       .";"      67";"       .";"      14";"       .";"       .";"       .";"    1935";"     110";"     168";"       .";"       ."
"1972";"Noord-Holland (PV)";"    2907";"       6";"      42";"      17";"       .";"      33";"       .";"       .";"      67";"       .";"       9";"       5";"       .";"       .";"    1920";"     112";"     168";"       .";"       ."
"1973";"Noord-Holland (PV)";"    2912";"       6";"      42";"      18";"       .";"      35";"       .";"       .";"      72";"       .";"      11";"      15";"       .";"       .";"    1894";"     111";"     168";"       .";"       ."
"1974";"Noord-Holland (PV)";"    2910";"       6";"      44";"      18";"       .";"      35";"       .";"       .";"      78";"       .";"      12";"      16";"       .";"       .";"    1878";"     113";"     167";"       .";"       ."
"1975";"Noord-Holland (PV)";"    2910";"       6";"      44";"      18";"       .";"      36";"       .";"       .";"      78";"       .";"      12";"      17";"       .";"       .";"    1864";"     114";"     166";"       .";"       ."
"1976";"Noord-Holland (PV)";"    2910";"       6";"      45";"      18";"       .";"      37";"       .";"       .";"      74";"       .";"      13";"      18";"       .";"       .";"    1858";"     114";"     166";"       .";"       ."
"1977";"Noord-Holland (PV)";"    2934";"      11";"      87";"      17";"     241";"      69";"      21";"       0";"      66";"      11";"      21";"      31";"      42";"      16";"    1745";"      90";"     202";"     211";"      53"
"1978";"Noord-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1979";"Noord-Holland (PV)";"    2938";"      11";"      89";"      17";"     251";"      72";"      20";"       0";"      64";"      11";"      23";"      33";"      42";"      17";"    1728";"      90";"     201";"     216";"      53"
"1980";"Noord-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1981";"Noord-Holland (PV)";"    2938";"      12";"      92";"      17";"     254";"      75";"      21";"       0";"      61";"      11";"      24";"      34";"      44";"      18";"    1710";"      94";"     200";"     217";"      54"
"1982";"Noord-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1983";"Noord-Holland (PV)";"    2935";"      12";"      98";"      17";"     262";"      78";"      21";"       0";"      52";"      13";"      26";"      35";"      45";"      18";"    1695";"      96";"     196";"     218";"      52"
"1984";"Noord-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1985";"Noord-Holland (PV)";"    2958";"      13";"      99";"      17";"     268";"      79";"      21";"       0";"      46";"      15";"      26";"      36";"      48";"      18";"    1689";"      99";"     194";"     238";"      53"
"1986";"Noord-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1987";"Noord-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1988";"Noord-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1989";"Noord-Holland (PV)";"    3518";"      14";"     104";"      17";"     280";"      81";"      22";"       0";"      40";"      18";"      27";"      36";"      46";"      16";"    1677";"     100";"     180";"     249";"     610"
"1990";"Noord-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1991";"Noord-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1992";"Noord-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1993";"Noord-Holland (PV)";"    4042";"      12";"     101";"      17";"     288";"      88";"      20";"       0";"      34";"      19";"      26";"      42";"      46";"      17";"    1665";"     109";"     173";"     696";"     688"
"1994";"Noord-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1995";"Noord-Holland (PV)";"    4059";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1996";"Noord-Holland (PV)";"    4059";"      12";"      93";"       7";"     287";"      95";"      19";"       0";"      28";"      17";"      35";"      43";"      42";"      16";"    1660";"     130";"     168";"     716";"     690"
"1997";"Noord-Holland (PV)";"    4059";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1998";"Noord-Holland (PV)";"    4059";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1999";"Noord-Holland (PV)";"    4059";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2000";"Noord-Holland (PV)";"    4059";"      12";"      93";"       7";"     294";"      99";"      19";"       0";"      45";"      16";"      36";"      44";"      42";"      18";"    1626";"     132";"     170";"     717";"     687"
"2001";"Noord-Holland (PV)";"    4059";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2002";"Noord-Holland (PV)";"    4092";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2003";"Noord-Holland (PV)";"    4092";"      11";"      97";"       7";"     298";"     108";"      17";"       1";"      48";"      16";"      44";"      45";"      45";"      18";"    1610";"     130";"     176";"     735";"     686"
"2004";"Noord-Holland (PV)";"    4092";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2005";"Noord-Holland (PV)";"    4092";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2006";"Noord-Holland (PV)";"    4092";"      12";"      99";"       8";"     300";"     115";"      18";"       1";"      43";"      15";"      45";"      46";"      46";"      17";"    1596";"     131";"     175";"     739";"     687"
"2007";"Noord-Holland (PV)";"    4092";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
